Rec_number,LatencyGA.goal,Species,LatencyMAU.goal,Social_unit
105128,0,EAC,0.72,Sonso
105146,0,EAC,2.4,Sonso
105197,0,EAC,2.64,Sonso
105152,0,EAC,1.96,Sonso
105171,0,EAC,2.12,Sonso
R200482,0.13,MG,1.2,Muk
R201380,0,MG,1.27,Muk
R200480,-0,MG,1.29,Muk
R201379,0,MG,1.63,Muk
R201444,0,MG,12.91,Muk
R201361,0,MG,3.39,Muk
R200477,0.17,MG,3.4,Muk
R200354,0,MG,7.46,Muk
R200517,0.06,MG,2.66,Muk
R200525,0,MG,5.76,Muk
R200443,0.01,MG,1.79,Muk
R200456,0.02,MG,0.02,Muk
R201614,0.01,MG,1.43,Muk
R201253,0.11,MG,1.61,Ruk
R201254,0,MG,3.72,Ruk
R200015,0,MG,2.89,Ruk
R200563,0,MG,1.52,Ruk
R200993,0.01,MG,1.23,Ruk
R200016,0,MG,2.64,Ruk
R200011,0,MG,4.77,Ruk
R200543,0,MG,4.45,Ruk
R201151,0,MG,1.1,Ruk
R200014,0.02,MG,4.11,Ruk
R200018,0,MG,2.52,Ruk
R200547,0,MG,5.92,Ruk
R200108,0,MG,2.2,Bit
R200101,0,MG,4.42,Bit
R203306,0,MG,2.36,Oru
R201811,0,MG,3.84,Muk
R202858,0,MG,0.68,Muk
R202853,0,MG,8.36,Muk
R202854,0,MG,0.35,Muk
R202937,0.03,MG,1.65,Muk
R202701,0,MG,2.26,Muk
R202582,0,MG,1.55,Muk
R201718,0.76,MG,34.4,Muk
R202857,0,MG,6.37,Muk
R202688,0.02,MG,1.65,Muk
R202989,0,MG,1.83,Muk
R202849,0.03,MG,1.27,Muk
R202579,0,MG,0.39,Muk
R202882,0,MG,4.81,Muk
R202825,0.03,MG,5.29,Muk
R202835,0,MG,0,Muk
R201445,-0.03,MG,0.72,Muk
R200574,0.65,MG,1.76,Muk
R202983,0,MG,1.16,Muk
R202856,0,MG,40.17,Muk
R202855,0,MG,1.27,Muk
R202846,0.04,MG,0.62,Muk
R202941,0.13,MG,3.96,Ruk
R202945,0,MG,0.61,Ruk
R202943,0,MG,3.92,Ruk
R202940,0,MG,3.28,Ruk
R203047,0,MG,0,Bit
R202659,0.11,MG,4.31,Bit
R203028,0,MG,2.75,Bit
R201922,1.12,MG,32.24,Bit
R202950,0,MG,7.48,Bit
R202658,0,MG,6.18,Bit
R203046,0,MG,0,Bit
R202954,0,MG,0,Bit
R201924,0.16,MG,8.38,Bit
R202680,0,MG,2.08,Bit
R203024,0,MG,0.34,Bit
R203026,0,MG,3.36,Bit
R202951,0.01,MG,2.36,Bit
R203025,0,MG,1.43,Bit
R203041,0,MG,1.59,Oru
R202226,0,MG,4.78,Muk
R202063,0,MG,3.57,Muk
R202040,-0.24,MG,-0.24,Muk
R203275,0.01,MG,2.15,Muk
R202249,0.04,MG,4.5,Muk
R202207,0.05,MG,4.54,Muk
R202154,0.27,MG,2.34,Muk
R202419,0,MG,5.51,Muk
R202220,0.06,MG,1.2,Muk
R202241,0,MG,10.47,Muk
R202219,0,MG,0.32,Muk
R202223,0,MG,0,Muk
R202061,0,MG,78.11,Muk
R202156,0.08,MG,4.48,Muk
R202224,0,MG,6.94,Muk
R202140,0.06,MG,6.66,Muk
R202288,0,MG,0.73,Bit
R202301,0,MG,4.44,Bit
R202304,0,MG,9.73,Bit
R201991,-0.04,MG,4.4,Bit
R203278,0,MG,0.65,Bit
R203279,0,MG,0.92,Bit
R201996,-0,MG,7.21,Bit
R202350,0.12,MG,3.88,Bit
R202365,0.1,MG,8.42,Bit
R202370,0,MG,0.52,Bit
R203287,0,MG,4.34,Oru
R203288,-0,MG,0.94,Oru
R203098,0,MG,1.15,Muk
R203104,0.06,MG,0.95,Muk
R203208,0.04,MG,1.75,Ruk
R203210,0,MG,2.24,Ruk
R203207,0,MG,6.96,Ruk
R203163,0,MG,10.88,Ruk
R203196,0.01,MG,6.76,Bit
