Gesture_record,MAU_duration,GA_duration,Gesture_duration
Beckon,0.34000000000003183,0.34000000000003183,0.4399999999999977
Raise,0.9729999999999919,1.3500000000000014,2.213000000000001
Raise,0.45400000000002194,0.7800000000000153,0.88900000000001
Raise,0.46399999999999864,0.592000000000013,0.592000000000013
Raise,0.25,0.4329999999999927,0.43600000000000705
Raise,0.4300000000000068,0.7480000000000189,0.9370000000000402
Raise,1.1399999999999864,5.937999999999988,6.305999999999955
Beckon,1.453000000000003,2.120999999999981,2.4799999999999898
Reach,0.8230000000000004,1.516000000000009,2.952000000000009
Reach,0.4269999999999996,0.6310000000000002,1.120000000000001
Reach,1.0040000000000049,1.1820000000000022,1.3420000000000059
Beckon,0.7060000000000173,0.7060000000000173,1.3200000000000216
Reach,0.5330000000000155,0.7090000000000032,1.2930000000000064
Reach,1.2539999999999907,1.519999999999996,1.6530000000000058
Reach,0.9269999999999925,1.6189999999999998,2.2700000000000102
Reach,0.879999999999967,1.2909999999999968,2.1799999999999784
Raise,0.4800000000000182,1.532000000000039,1.9189999999999827
Beckon,0.561000000000007,0.561000000000007,0.6800000000000352
Reach,0.45699999999999363,1.0949999999999136,1.0949999999999136
Raise,0.5259999999999962,1.0799999999999983,1.453000000000003
Reach,1.4000000000000057,1.4939999999999998,2.1580000000000013
Reach,0.44599999999996953,0.924000000000035,1.8000000000000114
Reach,0.65300000000002,0.7930000000000064,1.1170000000000186
Raise,1.183999999999969,6.3069999999999595,6.3069999999999595
Reach,0.6330000000000382,0.6330000000000382,0.7839999999999918
Raise,1.5290000000000532,3.3800000000000523,3.65300000000002
Raise,0.5649999999999977,1.1639999999999873,1.1839999999999975
Raise,1.0799999999999983,1.3489999999999984,1.9799999999999986
Raise,0.5539999999999168,0.69399999999996,1.1400000000000432
Reach,1.0810000000000173,1.552000000000021,1.8199999999999363
Beckon,0.7939999999999827,0.7939999999999827,0.9339999999999691
Beckon,0.8969999999999914,0.8969999999999914,1.2479999999999905
