Rec_number,LatencyGA.goal,Species,LatencyMAU.goal,Social_unit
301319,0.63,EAC,1.23,Waibira
301003,0,EAC,1.1,Waibira
300037,0,EAC,0,Waibira
301016,0,EAC,0,Waibira
300383,0.33,EAC,8,Waibira
300521,-1.28,EAC,-1.28,Waibira
301366,1.64,EAC,3.1,Waibira
300444,0.76,EAC,1.56,Waibira
301008,-0.11,EAC,1.8,Waibira
300113,0.1,EAC,1.41,Waibira
301231,1.4,EAC,2.81,Waibira
301200,0.26,EAC,1.35,Waibira
301211,0,EAC,1.98,Waibira
301268,0.41,EAC,3.21,Waibira
300013,0.03,EAC,0.03,Waibira
301049,-0.66,EAC,1.12,Waibira
301658,0.71,EAC,1.35,Waibira
300116,0.95,EAC,0.98,Waibira
300083,0,EAC,0.66,Waibira
301298,1.08,EAC,4.59,Waibira
301025,-1.04,EAC,-0.61,Waibira
301042,0,EAC,0.79,Waibira
300074,0,EAC,1.44,Waibira
301365,1,EAC,1.47,Waibira
301139,0,EAC,1.15,Waibira
301476,0.51,EAC,1.32,Waibira
301555,0,EAC,0.14,Waibira
301659,2.13,EAC,2.41,Waibira
301052,0.12,EAC,0.84,Waibira
301010,0,EAC,0.81,Waibira
300368,0,EAC,0.2,Waibira
301518,-0.5,EAC,-0.5,Waibira
301014,0.29,EAC,0.29,Waibira
301809,0,EAC,0,Waibira
301321,0.23,EAC,3.58,Waibira
300046,0,EAC,2.22,Waibira
300048,0.7,EAC,1.95,Waibira
300148,0.85,EAC,1.68,Waibira
300421,0,EAC,7.16,Waibira
301545,5.41,EAC,5.41,Waibira
300575,1.05,EAC,3.15,Waibira
300229,0,EAC,0.96,Waibira
301584,0,EAC,0,Waibira
301108,1.1,EAC,1.98,Waibira
300179,0.81,EAC,2.38,Waibira
300437,3.71,EAC,3.71,Waibira
300051,0.23,EAC,0.93,Waibira
301797,1.72,EAC,1.72,Waibira
300225,0,EAC,0.3,Waibira
301009,1.57,EAC,3.31,Waibira
301225,0,EAC,0,Waibira
300414,0,EAC,2.22,Waibira
