Elan tier,Variable full name,Controlled vocabulary,Protocol section (more details),,,,,,,,,,,,,,,,,,,,,,
G2_MAU_duration,Minimum action unit and gesture action duration,MAU_GA_selection,2.25,,,,,,,,,,,,,,,,,,,,,,
G2_Body_sgn,Body part signaller,Body_part,2.26,,,,,,,,,,,,,,,,,,,,,,
G2_Sgn_lat,Signaller laterality,Laterality,2.27,,,,,,,,,,,,,,,,,,,,,,
G2_Lat_bim,Laterality bimanual gestures,Bimanual_lat,2.28,,,,,,,,,,,,,,,,,,,,,,
G2_Body_con,Body part contact,Body_part,2.29,,,,,,,,,,,,,,,,,,,,,,
G2_Con_lat,Contact laterality,Laterality,2.3,,,,,,,,,,,,,,,,,,,,,,
G2_Object_contacted,Object contact,Object,2.31,,,,,,,,,,,,,,,,,,,,,,
G2_with_Object,Object used,Object,2.32,,,,,,,,,,,,,,,,,,,,,,
G2_Audible,Audible information,Yes_No_Unk,2.33,,,,,,,,,,,,,,,,,,,,,,
G2_Direct_G,Directionality of gesture,Directionality_gesture,2.34,,,,,,,,,,,,,,,,,,,,,,
G2_Emphasis,Emphasis,Emphasis,2.35,,,,,,,,,,,,,,,,,,,,,,
G2_Flexion,Flexion,Flexion,2.36,,,,,,,,,,,,,,,,,,,,,,
G2_Orientation,Orientation,Orientation,2.37,,,,,,,,,,,,,,,,,,,,,,
G2_Sgn_Voc,Signaller vocalisation,Vocalisation,2.38,,,,,,,,,,,,,,,,,,,,,,
G2_Sgn_FE,Signaller facial expression,Facial_expression,2.39,,,,,,,,,,,,,,,,,,,,,,
G2_Distance_rcp,Distance to recipient,Distance_recipient,2.4,,,,,,,,,,,,,,,,,,,,,,
G2_Rcp_VA,Recipient visual attention,Visual_attention,2.41,,,,,,,,,,,,,,,,,,,,,,
G2_Effectiveness,Effectiveness of gesture,Effectiveness,2.42,,,,,,,,,,,,,,,,,,,,,,
G2_Dur_ana,Gesture duration include in analysis,Analysis_selection,2.43,,,,,,,,,,,,,,,,,,,,,,
G2_Cod_status,Gesture coding status,Coding_status,2.44,,,,,,,,,,,,,,,,,,,,,,
G2_Comment_rec,Comments on gesture action,free text,2.45,,,,,,,,,,,,,,,,,,,,,,
Bout_part2,Part of bout,Series_numbers,2.46,,,,,,,,,,,,,,,,,,,,,,
BP2_Sgn_location,Signaller location,Location,2.47,,,,,,,,,,,,,,,,,,,,,,
BP2_Sgn_arousal,Signaller arousal,Yes_No_Unk,2.48,,,,,,,,,,,,,,,,,,,,,,
BP2_Gaze_before,Signaller gaze before sequence,Yes_No_Unk,2.49,,,,,,,,,,,,,,,,,,,,,,
BP2_Gaze_during,Signaller gaze during sequence,Yes_No_Unk,2.5,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_location,Recipient location,Location,2.51,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_arousal,Recipient arousal,Yes_No_Unk,2.52,,,,,,,,,,,,,,,,,,,,,,
BP2_Vis_during,Visibility during,Visibility,2.53,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_Voc,Recipient vocalisation,Vocalisation,2.54,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_FE,Recipient facial expression,Facial_expression,2.55,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_G,Recipient gesture,Gesture_action,2.56,,,,,,,,,,,,,,,,,,,,,,
BP2_Rcp_reaction,Recipient reaction,Reaction,2.57,,,,,,,,,,,,,,,,,,,,,,
BP2_Response_waiting,Response waiting,Yes_No_Unk,2.58,,,,,,,,,,,,,,,,,,,,,,
BP2_Persistence,Presistence,Persistence,2.59,,,,,,,,,,,,,,,,,,,,,,
BP2_Goal_met,Goal met,Goal_met,2.6,,,,,,,,,,,,,,,,,,,,,,
